class,predicate,distinct_objects,total_objects,uniqueness
AdministrativeRegion,image,1177,1209,0.973532
Person,type,1171,35351,0.033125
AdministrativeRegion,aprPrecipitationMm,1170,2354,0.497026
Person,nhl,1169,3234,0.361472
Species,nhl,1169,3234,0.361472
AdministrativeRegion,areaWater,1168,3920,0.297959
Person,debutdate,1157,26881,0.043042
Person,oldId,1157,1259,0.918983
Species,debutdate,1157,26881,0.043042
Species,oldId,1157,1259,0.918983
AdministrativeRegion,settlementType,1154,26277,0.043917
AdministrativeRegion,mayor,1152,1190,0.968067
Person,coach,1151,3227,0.356678
Species,coach,1151,3227,0.356678
Person,nationalcompetition,1147,2258,0.507972
Species,nationalcompetition,1147,2258,0.507972
AdministrativeRegion,populationEst,1143,1151,0.993050
Person,congbio,1141,1142,0.999124
Species,congbio,1141,1142,0.999124
Species,height,1140,107386,0.010616
Person,height,1133,107374,0.010552
Person,formerchoreographer,1131,2114,0.535005
Species,formerchoreographer,1131,2114,0.535005
Person,riding,1127,2528,0.445807
Species,riding,1127,2528,0.445807
Person,crest,1122,1434,0.782427
Species,crest,1122,1434,0.782427
Species,altname,1120,1189,0.941968
Person,altname,1119,1188,0.941919
Person,page,1116,2225,0.501573
Species,page,1116,2226,0.501348
AdministrativeRegion,subdivisionType,1114,75245,0.014805
AdministrativeRegion,isoCodeRegion,1110,1218,0.911330
Person,cfl,1105,1108,0.997292
Species,cfl,1105,1108,0.997292
Galaxy,hRadialV,1105,1335,0.827715
Species,ffm,1100,3938,0.279330
Star,bV,1099,3073,0.357631
Person,currentdoublesranking,1098,1968,0.557927
Species,currentdoublesranking,1098,1968,0.557927
AdministrativeRegion,leaderTitle,1094,9805,0.111576
AdministrativeRegion,marPrecipitationMm,1087,2355,0.461571
Person,teacher,1085,1516,0.715699
Species,teacher,1085,1516,0.715699
Species,fmfm,1083,3694,0.293178
Person,coachteams,1081,1632,0.662377
Species,coachteams,1081,1632,0.662377
Person,theywork,1074,1075,0.999070
Species,theywork,1074,1075,0.999070
Person,region,1073,3428,0.313011
Species,region,1073,3428,0.313011
Person,patrons,1071,1187,0.902275
Species,country,1071,50600,0.021166
Species,patrons,1071,1187,0.902275
AdministrativeRegion,territory,1071,1185,0.903797
Person,boxrec,1070,1078,0.992579
Species,boxrec,1070,1078,0.992579
Person,restaurants,1068,1302,0.820276
Species,restaurants,1068,1302,0.820276
Person,currentsinglesranking,1065,1897,0.561413
Species,currentsinglesranking,1065,1897,0.561413
AdministrativeRegion,popCommunity,1062,1463,0.725906
Person,country,1059,45236,0.023411
AdministrativeRegion,blankInfo,1057,2002,0.527972
Person,open,1053,2494,0.422213
Person,religion,1053,19828,0.053107
Species,open,1053,2494,0.422213
Species,religion,1053,19828,0.053107
AdministrativeRegion,province,1053,5119,0.205704
AdministrativeRegion,octPrecipitationMm,1052,2356,0.446520
Person,authorAbbrevBot,1051,1051,1.000000
Species,authorAbbrevBot,1051,1051,1.000000
