value,yago-4,yago-4.5.0.2,relative_change
nodes/http://yago-knowledge.org/resource/Hamburg/rank_shift,29.000000,124.000000,3.275862
nodes/http://yago-knowledge.org/resource/Russell_Group/rank_shift,-79.000000,174.000000,3.202532
nodes/http://yago-knowledge.org/resource/Metropolitan_City_of_Bologna/unweighted,0.203890,0.848114,3.159666
nodes/http://yago-knowledge.org/resource/Slovakia/entropy_weighted,0.159627,0.663413,3.156029
nodes/http://yago-knowledge.org/resource/Caribbean_Development_Bank/unweighted,0.205592,0.853374,3.150805
nodes/http://yago-knowledge.org/resource/International_Energy_Agency/unweighted,0.766335,3.176032,3.144442
nodes/http://yago-knowledge.org/resource/Rome/rank_shift,7.000000,29.000000,3.142857
nodes/http://yago-knowledge.org/resource/University_of_Amsterdam/rank_shift,31.000000,128.000000,3.129032
nodes/http://yago-knowledge.org/resource/East_Germany/rank_shift,9.000000,37.000000,3.111111
nodes/http://yago-knowledge.org/resource/Bologna/entropy_weighted,0.154437,0.632121,3.093057
nodes/http://yago-knowledge.org/resource/Australian_Academy_of_the_Humanities/rank_shift,55.000000,225.000000,3.090909
nodes/http://yago-knowledge.org/resource/International_Civil_Aviation_Organization/unweighted,0.198864,0.811627,3.081322
nodes/http://yago-knowledge.org/resource/Halmstad_Municipality/rank_shift,49.000000,198.000000,3.040816
nodes/http://yago-knowledge.org/resource/Informationsdienst_Wissenschaft/rank_shift,-30.000000,61.000000,3.033333
nodes/http://yago-knowledge.org/resource/Admiralspalast/rank_shift,-71.000000,-286.000000,-3.028169
nodes/http://yago-knowledge.org/resource/Group_on_Earth_Observations/unweighted,1.117162,4.486977,3.016407
nodes/http://yago-knowledge.org/resource/Organization_of_the_Black_Sea_Economic_Cooperation/unweighted,0.169688,0.673423,2.968586
nodes/http://yago-knowledge.org/resource/International_Hydrographic_Organization/unweighted,0.921102,3.621616,2.931831
nodes/http://yago-knowledge.org/resource/Nuclear_Suppliers_Group/unweighted,0.820368,3.197537,2.897685
nodes/http://yago-knowledge.org/resource/Louis_Bonaparte/rank_shift,-123.000000,231.000000,2.878049
nodes/http://yago-knowledge.org/resource/Movement_Coordination_Centre_Europe/unweighted,0.652499,2.524518,2.868998
